"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"7f6536b60d552c899c2794d015c7b45f","Bacteria","Proteobacteria","Betaproteobacteria","Ellin6067",NA,NA,NA
"e81774efee937a01f2ce1cad5eddaf3c","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"9fd2ddc0df57354a6ee0fd6c020ba3f0","Bacteria","Proteobacteria","Betaproteobacteria","SBla14",NA,NA,NA
"8b9fa4a8c48582bbc378a395afbc5af7","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Pandoraea",NA
"65a4162852e1f52a768965e3cdab28b1","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia",NA
"a31c15c87b56f13c5a7952c43133d82f","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","C39",NA
"ee8fbfe50e5c7b22f13b663c66808a27","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herminiimonas",NA
"fff30e95b6151db41b584cd82bd8bb17","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Sterolibacterium",NA
"bed88825de1641100e1386cc050aafca","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Sulfuritalea",NA
"a2b11e0fcb507fb1a1b92ec11b4e4620","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Dok59",NA
"47ce08e3e499f7803fe6611e5a025073","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Microvirgula",NA
"f4cf4c5e1b0b84e021bf21bbff2a1a35","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Aquaspirillum",NA
"3e241d924d9c7aa0955fe09a53062981","Bacteria","Proteobacteria","Betaproteobacteria","Procabacteriales","Procabacteriaceae",NA,NA
"1dfe798342409de7ab72c4bc4e4c2666","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"e4142ac81cb2f2af877ed0e04dfceba7","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA
"9734bf577035d2409e1eb80a28d93a91","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",NA
"bdc087c7415f9874b4d0af6f5805ec34","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae",NA,NA
"5c60f2ee7c39d1ad91fe8883e9c912be","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia",NA
"dc8a2f47b3d1dc2e1f5f805891976b29","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Ralstonia",NA
"c1de42279e584ee85ad50f9b3e0c15f7","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Limnobacter",NA
"5e3f2c5e97d8fa095ad0ab9e91b4a171","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"cf20e34669971b49ac997fc6c0b2a32b","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Collimonas",NA
"52cfef6518ed53b9f93b5630831241fb","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Cupriavidus",NA
"73e48116a5602c2baa6611e83a3fcd0d","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Polynucleobacter",NA
"b788b06080692670c8590ba5c2b1bb44","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenes",NA
"c3e2c2473722fb7e177823d827872a16","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Tetrathiobacter",NA
"17678ef8e01d8301bae687278fcd3616","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Kerstersia",NA
"01de1ba8287799a3aef50b25bddd9149","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter",NA
"d34cce8f635313a9dc402ea69ac44781","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae",NA,NA
"eb1c6e500e5b523244446304cf732340","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Paralcaligenes",NA
"175389309f950dbc5bfe3e37220c585f","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylobacillus",NA
"08b9f9c2327acc86b0bb6c348b906790","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae",NA,NA
"69d6cfcb70422396866b882baff23888","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylotenera",NA
"b57d203e00ddb432898b380e258d34c6","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae",NA,NA
"4aa5afd4bef912acec95c359d1ff2811","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Uruburuella",NA
